BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
3600000;111446;;1;33,2;16;8;косметический ремонт;1;;;1
10300000;199226;;2;51,7;28,1;11,1;косметический ремонт;0;1;0;1
5300000;123256;17;1;43;17;13;евроремонт;1;;;1
7500000;131399;23;1;58,6;22,5;17,4;требуется ремонт;1;;;1
5250000;140000;10;1;37,5;14,5;9,9;требуется ремонт;1;;;
7600000;108571;16;2;70;36;17;требуется ремонт;0;1;0;1
6750000;161871;19;1;41,7;18,2;9;косметический ремонт;1;0;0;1
8100000;121880;19;2;68,1;35,7;16,1;требуется ремонт;;;1;
3550000;154348;;;23;16;2;;;;;
5100000;188889;26;1;27;12;15;евроремонт;;0;1;1
4250000;150000;4;1;30;11,7;10,1;евроремонт;1;0;1;0
9999000;243878;26;1;41;15;12;;;;;
8100000;170526;8;2;47,5;26,6;9,2;евроремонт;0;0;1;0
4400000;133333;17;1;33;14,5;9,6;косметический ремонт;;;;1
6490000;103016;;2;63;32;;евроремонт;;1;;1
9200000;130496;23;2;70,5;33,5;16,1;требуется ремонт;1;1;0;1
5300000;164179;10;1;33,5;14,6;8,1;требуется ремонт;1;;;1
5300000;155882;;1;34;14,5;8,1;требуется ремонт;;;;1
7400000;180488;;1;41;21;9;косметический ремонт;0;1;0;2
8000000;149533;10;2;53,5;;14;косметический ремонт;0;1;0;0
9500000;161129;;3;62;43;6;косметический ремонт;;1;;1
7500000;125839;26;2;59,6;30,5;15,3;требуется ремонт;0;1;1;0
6200000;148325;18;2;41,8;25;8;евроремонт;1;;1;
4500000;136364;;1;33;;;требуется ремонт;0;0;0;0
3700000;154167;10;;24;14;3;;1;;0;1
17180;185957;32;3;94;;16,6;требуется ремонт;0;0;0;0
5600000;158964;26;1;35,7;14;9,8;требуется ремонт;1;;1;1
7350000;144685;;2;50,8;30;13;евроремонт;0;1;0;1
6499000;153641;5;2;42,3;20;12;евроремонт;1;;;1
4500000;140625;17;1;33;10,3;18,3;требуется ремонт;1;;;
5000000;119048;5;1;42;17;11,7;требуется ремонт;1;;;
9700000;144776;8;3;67;47,2;;евроремонт;0;1;0;1
